rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
146,Novita,gpt-oss-120B (high),131k,Open,33,$0.10,74,0.86,34.76,27.12,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
147,Fireworks,gpt-oss-120B (high),131k,Open,33,$0.26,695,0.38,3.97,2.88,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
148,Scaleway,gpt-oss-120B (high),128k,Open,33,$0.30,184,1.25,14.85,10.87,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
149,Nebius Fast,gpt-oss-120B (high) Fast,131k,Open,33,$0.20,816,2.00,5.06,2.45,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
150,Cloudflare,gpt-oss-120B (high),128k,Open,33,$0.45,94,1.07,27.79,21.38,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
151,Nebius Base,gpt-oss-120B (high) Base,128k,Open,33,$0.26,235,0.93,11.55,8.50,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
152,Eigen AI,gpt-oss-120B (high),131k,Open,33,$0.20,982,1.49,4.03,2.04,https://artificialanalysis.ai/models/gpt-oss-120b,https://artificialanalysis.ai/models/gpt-oss-120b/providers
153,Inception,Mercury 2,128k,Proprietary,33,$0.38,825,5.11,5.71,N/A,https://artificialanalysis.ai/models/mercury-2,https://artificialanalysis.ai/models/mercury-2/providers
154,Together.ai (FP8),Qwen3.5 9B (FP8),262k,Open,32,$0.11,61,0.66,41.58,32.73,https://artificialanalysis.ai/models/qwen3-5-9b,https://artificialanalysis.ai/models/qwen3-5-9b/providers
155,Amazon Bedrock,DeepSeek V3.2,128k,Open,32,$0.93,61,1.66,9.91,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
156,GMI,DeepSeek V3.2,164k,Open,32,$0.23,34,2.23,16.76,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
157,Nebius Fast,DeepSeek V3.2 Fast,164k,Open,32,$0.80,148,2.12,5.49,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
158,SiliconFlow (FP8),DeepSeek V3.2 (FP8),164k,Open,32,$0.31,43,21.98,33.58,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
159,DeepSeek,DeepSeek V3.2,128k,Open,32,$0.32,32,1.65,17.08,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
160,Google Vertex,DeepSeek V3.2 Vertex,164k,Open,32,$0.84,216,0.78,3.09,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
161,Novita,DeepSeek V3.2,164k,Open,32,$0.32,35,1.63,15.99,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
162,DeepInfra,DeepSeek V3.2,164k,Open,32,$0.29,11,1.49,45.25,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
163,Eigen AI,DeepSeek V3.2,131k,Open,32,$0.91,148,1.60,4.98,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
164,Microsoft Azure,DeepSeek V3.2,128k,Open,32,$0.85,221,1.13,3.39,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
165,Nebius,DeepSeek V3.2,164k,Open,32,$0.34,74,2.14,8.90,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
166,FriendliAI,DeepSeek V3.2,164k,Open,32,$0.75,95,1.18,6.45,N/A,https://artificialanalysis.ai/models/deepseek-v3-2,https://artificialanalysis.ai/models/deepseek-v3-2/providers
167,xAI Fast,Grok 3 mini Reasoning (high) Fast,131k,Proprietary,32,$1.45,191,0.58,13.70,10.50,https://artificialanalysis.ai/models/grok-3-mini-reasoning,https://artificialanalysis.ai/models/grok-3-mini-reasoning/providers
168,xAI,Grok 3 mini Reasoning (high),131k,Proprietary,32,$0.35,189,0.60,13.81,10.57,https://artificialanalysis.ai/models/grok-3-mini-reasoning,https://artificialanalysis.ai/models/grok-3-mini-reasoning/providers
169,Microsoft Azure,Grok 3 mini Reasoning (high),32k,Proprietary,32,$0.00,107,0.58,24.05,18.78,https://artificialanalysis.ai/models/grok-3-mini-reasoning,https://artificialanalysis.ai/models/grok-3-mini-reasoning/providers
170,Amazon Bedrock,Nova 2.0 Pro Preview (low),256k,Proprietary,32,$3.44,140,10.10,28.00,14.32,https://artificialanalysis.ai/models/nova-2-0-pro-reasoning-low,https://artificialanalysis.ai/models/nova-2-0-pro-reasoning-low/providers
171,Amazon Bedrock,Claude 4.5 Haiku,200k,Proprietary,31,$2.00,108,1.09,5.72,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku,https://artificialanalysis.ai/models/claude-4-5-haiku/providers
172,Google Vertex,Claude 4.5 Haiku Vertex,200k,Proprietary,31,$2.00,96,0.74,5.94,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku,https://artificialanalysis.ai/models/claude-4-5-haiku/providers
173,Anthropic,Claude 4.5 Haiku,200k,Proprietary,31,$2.00,100,0.66,5.68,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku,https://artificialanalysis.ai/models/claude-4-5-haiku/providers
174,Microsoft Azure,Claude 4.5 Haiku,200k,Proprietary,31,$2.00,99,1.11,6.16,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku,https://artificialanalysis.ai/models/claude-4-5-haiku/providers
175,Alibaba Cloud,Qwen3.5 35B A3B,262k,Open,31,$0.69,155,2.14,5.35,N/A,https://artificialanalysis.ai/models/qwen3-5-35b-a3b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-35b-a3b-non-reasoning/providers
176,Xiaomi,MiMo-V2-Flash,256k,Open,30,$0.15,137,2.30,5.95,N/A,https://artificialanalysis.ai/models/mimo-v2-flash,https://artificialanalysis.ai/models/mimo-v2-flash/providers
177,Amazon Bedrock,Nova 2.0 Lite (medium),1m,Proprietary,30,$0.85,193,15.52,28.50,10.38,https://artificialanalysis.ai/models/nova-2-0-lite-reasoning-medium,https://artificialanalysis.ai/models/nova-2-0-lite-reasoning-medium/providers
178,xAI,Grok 4.20 Beta 0309,2m,Proprietary,30,$3.00,208,0.56,2.96,N/A,https://artificialanalysis.ai/models/grok-4-20-non-reasoning,https://artificialanalysis.ai/models/grok-4-20-non-reasoning/providers
179,xAI,Grok Code Fast 1,256k,Proprietary,29,$0.53,215,3.21,5.54,N/A,https://artificialanalysis.ai/models/grok-code-fast-1,https://artificialanalysis.ai/models/grok-code-fast-1/providers
180,Together.ai (FP8),Qwen3 Coder Next (FP8),262k,Open,28,$0.68,155,1.34,4.56,N/A,https://artificialanalysis.ai/models/qwen3-coder-next,https://artificialanalysis.ai/models/qwen3-coder-next/providers
181,Novita (FP8),Qwen3 Coder Next (FP8),262k,Open,28,$0.53,178,2.02,4.82,N/A,https://artificialanalysis.ai/models/qwen3-coder-next,https://artificialanalysis.ai/models/qwen3-coder-next/providers
182,Parasail (FP8),Qwen3 Coder Next (FP8),262k,Open,28,$0.31,78,1.21,7.62,N/A,https://artificialanalysis.ai/models/qwen3-coder-next,https://artificialanalysis.ai/models/qwen3-coder-next/providers
183,Amazon Bedrock,Qwen3 Coder Next,128k,Open,28,$0.68,153,0.90,4.17,N/A,https://artificialanalysis.ai/models/qwen3-coder-next,https://artificialanalysis.ai/models/qwen3-coder-next/providers
184,Together.ai,Apriel-v1.6-15B-Thinker,131k,Open,28,$0.00,126,0.43,20.31,15.91,https://artificialanalysis.ai/models/apriel-v1-6-15b-thinker,https://artificialanalysis.ai/models/apriel-v1-6-15b-thinker/providers
185,Mistral,Magistral Medium 1.2,128k,Proprietary,27,$2.75,86,1.65,30.88,23.38,https://artificialanalysis.ai/models/magistral-medium-2509,https://artificialanalysis.ai/models/magistral-medium-2509/providers
186,Novita,DeepSeek R1 0528,164k,Open,27,$1.15,28,2.89,93.39,72.40,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
187,Nebius,DeepSeek R1 0528,164k,Open,27,$1.20,29,1.34,88.92,70.06,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
188,SambaNova,DeepSeek R1 0528,131k,Open,27,$5.50,119,3.10,24.08,16.79,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
189,Microsoft Azure,DeepSeek R1 0528,128k,Open,27,$2.36,87,1.28,29.98,22.97,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
190,Google Vertex,DeepSeek R1 0528 Vertex,164k,Open,27,$2.36,186,0.90,14.33,10.75,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
191,Together.ai,DeepSeek R1 0528,164k,Open,27,$4.00,288,0.61,9.29,6.94,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
192,"Nebius Fast, FP4","DeepSeek R1 0528 Fast, FP4",164k,Open,27,$3.00,259,1.84,11.51,7.74,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
193,Hyperbolic,DeepSeek R1 0528,164k,Open,27,$3.00,109,0.79,23.77,18.39,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
194,DeepInfra,DeepSeek R1 0528,164k,Open,27,$0.91,40,0.62,63.60,50.38,https://artificialanalysis.ai/models/deepseek-r1,https://artificialanalysis.ai/models/deepseek-r1/providers
195,Google Vertex,Qwen3 Next 80B A3B Vertex,262k,Open,27,$0.41,150,0.46,17.17,13.36,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
196,Novita,Qwen3 Next 80B A3B,131k,Open,27,$0.49,204,1.75,13.98,9.79,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
197,Alibaba Cloud,Qwen3 Next 80B A3B,262k,Open,27,$1.88,153,2.06,18.42,13.09,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
198,Hyperbolic,Qwen3 Next 80B A3B,262k,Open,27,$0.30,322,0.99,8.75,6.21,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
199,Nebius (FP8),Qwen3 Next 80B A3B (FP8),262k,Open,27,$0.41,146,1.10,18.22,13.69,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
200,Eigen AI,Qwen3 Next 80B A3B,262k,Open,27,$0.41,341,1.75,9.08,5.86,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
201,Nebius Fast,Qwen3 Next 80B A3B Fast,262k,Open,27,$0.41,339,2.13,9.50,5.89,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-reasoning/providers
202,DeepInfra (FP8),Qwen3 Coder 480B (FP8),262k,Open,25,$0.70,76,0.84,7.40,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
