rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
242,Weights & Biases,gpt-oss-20B (high),131k,Open,24,$0.09,303,0.64,8.90,6.61,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
243,Nebius Base,gpt-oss-20B (high) Base,128k,Open,24,$0.09,197,0.96,13.67,10.17,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
244,Cloudflare,gpt-oss-20B (high),128k,Open,24,$0.23,195,0.91,13.74,10.26,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
245,OpenAI,GPT-5.4 nano,400k,Proprietary,24,$0.46,171,0.63,3.55,N/A,https://artificialanalysis.ai/models/gpt-5-4-nano-non-reasoning,https://artificialanalysis.ai/models/gpt-5-4-nano-non-reasoning/providers
246,Nebius,NVIDIA Nemotron 3 Nano,1m,Open,24,$0.10,190,1.02,14.15,10.51,https://artificialanalysis.ai/models/nvidia-nemotron-3-nano-30b-a3b-reasoning,https://artificialanalysis.ai/models/nvidia-nemotron-3-nano-30b-a3b-reasoning/providers
247,DeepInfra,NVIDIA Nemotron 3 Nano,262k,Open,24,$0.10,76,7.41,40.27,26.28,https://artificialanalysis.ai/models/nvidia-nemotron-3-nano-30b-a3b-reasoning,https://artificialanalysis.ai/models/nvidia-nemotron-3-nano-30b-a3b-reasoning/providers
248,LongCat,LongCat Flash Lite,256k,Open,24,$0.00,102,6.54,11.44,N/A,https://artificialanalysis.ai/models/longcat-flash-lite,https://artificialanalysis.ai/models/longcat-flash-lite/providers
249,SiliconFlow,GLM-4.6V,128k,Open,23,$0.45,22,2.65,114.57,89.53,https://artificialanalysis.ai/models/glm-4-6v-reasoning,https://artificialanalysis.ai/models/glm-4-6v-reasoning/providers
250,DeepInfra (FP8),GLM-4.6V (FP8),131k,Open,23,$0.45,101,0.82,25.53,19.76,https://artificialanalysis.ai/models/glm-4-6v-reasoning,https://artificialanalysis.ai/models/glm-4-6v-reasoning/providers
251,Novita,GLM-4.6V,131k,Open,23,$0.45,23,2.33,109.22,85.51,https://artificialanalysis.ai/models/glm-4-6v-reasoning,https://artificialanalysis.ai/models/glm-4-6v-reasoning/providers
252,OpenAI,GPT-5.4 mini,400k,Proprietary,23,$1.69,213,0.58,2.93,N/A,https://artificialanalysis.ai/models/gpt-5-4-mini-non-reasoning,https://artificialanalysis.ai/models/gpt-5-4-mini-non-reasoning/providers
253,Microsoft Azure,GPT-5.4 mini,400k,Proprietary,23,$1.69,201,0.88,3.37,N/A,https://artificialanalysis.ai/models/gpt-5-4-mini-non-reasoning,https://artificialanalysis.ai/models/gpt-5-4-mini-non-reasoning/providers
254,Amazon Bedrock,Nova 2.0 Omni (low),1m,Proprietary,23,$0.85,199,7.02,19.56,10.03,https://artificialanalysis.ai/models/nova-2-0-omni-reasoning-low,https://artificialanalysis.ai/models/nova-2-0-omni-reasoning-low/providers
255,Amazon Bedrock,Nova 2.0 Pro Preview,256k,Proprietary,23,$3.44,140,0.81,4.37,N/A,https://artificialanalysis.ai/models/nova-2-0-pro,https://artificialanalysis.ai/models/nova-2-0-pro/providers
256,Mistral,Mistral Large 3,256k,Open,23,$0.75,49,1.08,11.29,N/A,https://artificialanalysis.ai/models/mistral-large-3,https://artificialanalysis.ai/models/mistral-large-3/providers
257,Amazon Bedrock,Mistral Large 3,256k,Open,23,$0.75,195,0.94,3.50,N/A,https://artificialanalysis.ai/models/mistral-large-3,https://artificialanalysis.ai/models/mistral-large-3/providers
258,Microsoft Azure,Mistral Large 3,256k,Open,23,$0.75,68,1.95,9.26,N/A,https://artificialanalysis.ai/models/mistral-large-3,https://artificialanalysis.ai/models/mistral-large-3/providers
259,Mistral,Devstral 2,256k,Open,22,$0.00,82,0.86,6.95,N/A,https://artificialanalysis.ai/models/devstral-2,https://artificialanalysis.ai/models/devstral-2/providers
260,Google (AI Studio),Gemini 2.5 Flash-Lite (Sep) (AI Studio),1m,Proprietary,22,$0.17,359,4.28,5.67,N/A,https://artificialanalysis.ai/models/gemini-2-5-flash-lite-preview-09-2025-reasoning,https://artificialanalysis.ai/models/gemini-2-5-flash-lite-preview-09-2025-reasoning/providers
261,Mistral,Mistral Medium 3.1,131k,Proprietary,21,$0.80,84,1.22,7.15,N/A,https://artificialanalysis.ai/models/mistral-medium-3-1,https://artificialanalysis.ai/models/mistral-medium-3-1/providers
262,Google Vertex,gpt-oss-20B (low) Vertex,131k,Open,21,$0.12,257,0.32,10.07,7.80,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
263,Amazon Bedrock,gpt-oss-20B (low),131k,Open,21,$0.13,364,4.62,11.49,5.50,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
264,Novita,gpt-oss-20B (low),131k,Open,21,$0.07,65,1.29,39.67,30.71,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
265,Together.ai,gpt-oss-20B (low),131k,Open,21,$0.09,706,0.35,3.88,2.83,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
266,Databricks,gpt-oss-20B (low),131k,Open,21,$0.13,312,0.57,8.60,6.42,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
267,Groq,gpt-oss-20B (low),131k,Open,21,$0.13,938,0.67,3.34,2.13,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
268,Nebius Base,gpt-oss-20B (low) Base,128k,Open,21,$0.09,224,0.94,12.09,8.92,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
269,Cloudflare,gpt-oss-20B (low),128k,Open,21,$0.23,174,0.73,15.09,11.49,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
270,Lightning AI,gpt-oss-20B (low),128k,Open,21,$0.09,401,0.39,6.63,4.99,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
271,Hyperbolic,gpt-oss-20B (low),131k,Open,21,$0.10,106,0.73,24.33,18.88,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
272,Weights & Biases,gpt-oss-20B (low),131k,Open,21,$0.09,313,0.64,8.62,6.38,https://artificialanalysis.ai/models/gpt-oss-20b-low,https://artificialanalysis.ai/models/gpt-oss-20b-low/providers
273,Hyperbolic,Qwen3 Next 80B A3B,262k,Open,20,$0.30,332,0.88,2.39,N/A,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct/providers
274,Novita,Qwen3 Next 80B A3B,131k,Open,20,$0.49,136,1.69,5.36,N/A,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct/providers
275,Parasail,Qwen3 Next 80B A3B,262k,Open,20,$0.46,56,0.98,9.85,N/A,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct/providers
276,Alibaba Cloud,Qwen3 Next 80B A3B,131k,Open,20,$0.88,154,2.19,5.44,N/A,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct/providers
277,Google Vertex,Qwen3 Next 80B A3B Vertex,262k,Open,20,$0.41,271,0.47,2.31,N/A,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct/providers
278,DeepInfra,Qwen3 Next 80B A3B,262k,Open,20,$0.34,236,0.64,2.75,N/A,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-next-80b-a3b-instruct/providers
279,Mistral,Devstral Small 2,256k,Open,19,$0.00,180,0.56,3.33,N/A,https://artificialanalysis.ai/models/devstral-small-2,https://artificialanalysis.ai/models/devstral-small-2/providers
280,Google (AI Studio),Gemini 2.5 Flash-Lite (Sep) (AI Studio),1m,Proprietary,19,$0.17,339,0.39,1.87,N/A,https://artificialanalysis.ai/models/gemini-2-5-flash-lite-preview-09-2025,https://artificialanalysis.ai/models/gemini-2-5-flash-lite-preview-09-2025/providers
281,Amazon Bedrock,Nova Premier,1m,Proprietary,19,$5.00,30,2.77,19.17,N/A,https://artificialanalysis.ai/models/nova-premier,https://artificialanalysis.ai/models/nova-premier/providers
282,DeepInfra,Llama Nemotron Super 49B v1.5,131k,Open,19,$0.17,50,0.82,50.48,39.73,https://artificialanalysis.ai/models/llama-nemotron-super-49b-v1-5-reasoning,https://artificialanalysis.ai/models/llama-nemotron-super-49b-v1-5-reasoning/providers
283,Mistral,Mistral Small 4,256k,Open,19,$0.26,136,0.62,4.29,N/A,https://artificialanalysis.ai/models/mistral-small-4-non-reasoning,https://artificialanalysis.ai/models/mistral-small-4-non-reasoning/providers
284,Nebius (FP8),Hermes 4 405B (FP8),128k,Open,19,$1.50,32,2.53,81.51,63.19,https://artificialanalysis.ai/models/hermes-4-llama-3-1-405b-reasoning,https://artificialanalysis.ai/models/hermes-4-llama-3-1-405b-reasoning/providers
285,Parasail (FP8),Llama 4 Maverick (FP8),1m,Open,18,$0.35,146,1.03,4.46,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
286,Google Vertex,Llama 4 Maverick Vertex,524k,Open,18,$0.55,143,0.57,4.07,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
287,Together.ai,Llama 4 Maverick,1m,Open,18,$0.41,54,0.59,9.81,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
288,Microsoft Azure (FP8),Llama 4 Maverick (FP8),128k,Open,18,$0.61,114,1.27,5.64,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
289,Amazon Bedrock,Llama 4 Maverick,128k,Open,18,$0.42,221,0.80,3.06,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
290,Databricks,Llama 4 Maverick,131k,Open,18,$0.75,95,0.65,5.92,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
291,DeepInfra (FP8),Llama 4 Maverick (FP8),1m,Open,18,$0.26,34,0.67,15.26,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
292,SambaNova,Llama 4 Maverick,131k,Open,18,$0.92,645,2.05,2.83,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
293,Snowflake,Llama 4 Maverick,131k,Open,18,$0.50,122,1.17,5.25,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
294,Eigen AI,Llama 4 Maverick,1m,Open,18,$0.47,387,1.10,2.40,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
295,Novita (FP8),Llama 4 Maverick (FP8),1m,Open,18,$0.41,54,0.81,10.09,N/A,https://artificialanalysis.ai/models/llama-4-maverick,https://artificialanalysis.ai/models/llama-4-maverick/providers
296,Mistral,Magistral Small 1.2,128k,Open,18,$0.75,114,0.82,22.81,17.60,https://artificialanalysis.ai/models/magistral-small-2509,https://artificialanalysis.ai/models/magistral-small-2509/providers
297,Amazon Bedrock,Magistral Small 1.2,128k,Open,18,$0.75,93,1.24,28.01,21.41,https://artificialanalysis.ai/models/magistral-small-2509,https://artificialanalysis.ai/models/magistral-small-2509/providers
298,Sarvam,Sarvam 105B (high),66k,Open,18,$0.00,110,2.42,25.06,18.12,https://artificialanalysis.ai/models/sarvam-105b,https://artificialanalysis.ai/models/sarvam-105b/providers
299,Amazon Bedrock,Nova 2.0 Lite,1m,Proprietary,18,$0.85,185,1.10,3.80,N/A,https://artificialanalysis.ai/models/nova-2-0-lite,https://artificialanalysis.ai/models/nova-2-0-lite/providers
300,Nebius (FP8),Hermes 4 405B (FP8),128k,Open,18,$1.50,33,2.36,17.65,N/A,https://artificialanalysis.ai/models/hermes-4-llama-3-1-405b,https://artificialanalysis.ai/models/hermes-4-llama-3-1-405b/providers
301,Amazon Bedrock Latency Optimized,Llama 3.1 405B Latency Optimized,128k,Open,17,$3.00,78,2.15,8.59,N/A,https://artificialanalysis.ai/models/llama-3-1-instruct-405b,https://artificialanalysis.ai/models/llama-3-1-instruct-405b/providers
302,Amazon Bedrock Standard,Llama 3.1 405B Standard,128k,Open,17,$2.40,16,8.13,39.87,N/A,https://artificialanalysis.ai/models/llama-3-1-instruct-405b,https://artificialanalysis.ai/models/llama-3-1-instruct-405b/providers
303,Microsoft Azure,Llama 3.1 405B,128k,Open,17,$8.00,29,1.96,18.92,N/A,https://artificialanalysis.ai/models/llama-3-1-instruct-405b,https://artificialanalysis.ai/models/llama-3-1-instruct-405b/providers
304,SiliconFlow,GLM-4.6V,128k,Open,17,$0.45,25,21.69,41.87,N/A,https://artificialanalysis.ai/models/glm-4-6v,https://artificialanalysis.ai/models/glm-4-6v/providers
305,Novita,GLM-4.6V,131k,Open,17,$0.45,21,2.27,26.27,N/A,https://artificialanalysis.ai/models/glm-4-6v,https://artificialanalysis.ai/models/glm-4-6v/providers
306,Amazon Bedrock,Nova 2.0 Omni,1m,Proprietary,17,$0.85,188,1.09,3.75,N/A,https://artificialanalysis.ai/models/nova-2-0-omni,https://artificialanalysis.ai/models/nova-2-0-omni/providers
307,Nebius (FP8),Hermes 4 70B (FP8),128k,Open,16,$0.20,73,1.39,35.79,27.52,https://artificialanalysis.ai/models/hermes-4-llama-3-1-70b-reasoning,https://artificialanalysis.ai/models/hermes-4-llama-3-1-70b-reasoning/providers
308,Mistral,Ministral 3 14B,256k,Open,16,$0.20,96,0.66,5.87,N/A,https://artificialanalysis.ai/models/ministral-3-14b,https://artificialanalysis.ai/models/ministral-3-14b/providers
309,Amazon Bedrock,Ministral 3 14B,256k,Open,16,$0.20,190,0.96,3.59,N/A,https://artificialanalysis.ai/models/ministral-3-14b,https://artificialanalysis.ai/models/ministral-3-14b/providers
310,SiliconFlow,Ling-flash-2.0,131k,Open,16,$0.25,60,2.39,10.74,N/A,https://artificialanalysis.ai/models/ling-flash-2-0,https://artificialanalysis.ai/models/ling-flash-2-0/providers
311,Alibaba Cloud,Qwen3 Omni 30B A3B,66k,Open,16,$0.43,88,1.95,30.38,22.74,https://artificialanalysis.ai/models/qwen3-omni-30b-a3b-reasoning,https://artificialanalysis.ai/models/qwen3-omni-30b-a3b-reasoning/providers
312,Nebius Base,Llama Nemotron Ultra Base,131k,Open,15,$0.90,42,2.47,61.37,47.12,https://artificialanalysis.ai/models/llama-3-1-nemotron-ultra-253b-v1-reasoning,https://artificialanalysis.ai/models/llama-3-1-nemotron-ultra-253b-v1-reasoning/providers
313,Novita,ERNIE 4.5 300B A47B,123k,Open,15,$0.48,25,3.44,23.76,N/A,https://artificialanalysis.ai/models/ernie-4-5-300b-a47b,https://artificialanalysis.ai/models/ernie-4-5-300b-a47b/providers
314,SiliconFlow,ERNIE 4.5 300B A47B,131k,Open,15,$0.48,38,9.98,23.10,N/A,https://artificialanalysis.ai/models/ernie-4-5-300b-a47b,https://artificialanalysis.ai/models/ernie-4-5-300b-a47b/providers
315,DeepInfra (FP8),NVIDIA Nemotron Nano 12B v2 VL (FP8),131k,Open,15,$0.30,128,0.65,20.23,15.66,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl-reasoning,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl-reasoning/providers
316,Mistral,Ministral 3 8B,256k,Open,15,$0.15,167,0.53,3.52,N/A,https://artificialanalysis.ai/models/ministral-3-8b,https://artificialanalysis.ai/models/ministral-3-8b/providers
317,Amazon Bedrock,Ministral 3 8B,256k,Open,15,$0.15,260,0.85,2.78,N/A,https://artificialanalysis.ai/models/ministral-3-8b,https://artificialanalysis.ai/models/ministral-3-8b/providers
318,DeepInfra,NVIDIA Nemotron Nano 9B V2,131k,Open,15,$0.07,125,1.04,20.98,15.96,https://artificialanalysis.ai/models/nvidia-nemotron-nano-9b-v2-reasoning,https://artificialanalysis.ai/models/nvidia-nemotron-nano-9b-v2-reasoning/providers
319,DeepInfra,Llama Nemotron Super 49B v1.5,131k,Open,15,$0.17,50,1.23,11.25,N/A,https://artificialanalysis.ai/models/llama-nemotron-super-49b-v1-5,https://artificialanalysis.ai/models/llama-nemotron-super-49b-v1-5/providers
320,SambaNova,Llama 3.3 70B,128k,Open,14,$0.75,310,2.13,3.74,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
321,Parasail (FP8),Llama 3.3 70B (FP8),131k,Open,14,$0.28,27,2.20,20.53,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
322,Amazon Bedrock,Llama 3.3 70B,128k,Open,14,$0.71,151,0.96,4.26,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
323,Groq,Llama 3.3 70B,131k,Open,14,$0.64,280,0.89,2.67,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
324,Nebius Fast,Llama 3.3 70B Fast,128k,Open,14,$0.38,119,1.42,5.62,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
325,Nebius Base,Llama 3.3 70B Base,128k,Open,14,$0.20,24,3.51,24.66,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
326,Fireworks,Llama 3.3 70B,131k,Open,14,$0.90,139,0.70,4.30,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
327,FriendliAI,Llama 3.3 70B,128k,Open,14,$0.60,122,0.96,5.04,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
328,Hyperbolic,Llama 3.3 70B,131k,Open,14,$0.40,138,2.01,5.63,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
329,Google Vertex,Llama 3.3 70B Vertex,128k,Open,14,$0.72,155,0.62,3.84,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
330,Weights & Biases,Llama 3.3 70B,128k,Open,14,$0.71,96,0.92,6.14,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
331,CompactifAI,Llama 3.3 70B,128k,Open,14,$0.40,143,0.87,4.37,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
332,Databricks,Llama 3.3 70B,128k,Open,14,$0.75,63,1.06,9.01,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
333,Together.ai Turbo,Llama 3.3 70B Turbo,131k,Open,14,$0.88,108,1.45,6.10,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
334,Lightning AI,Llama 3.3 70B,128k,Open,14,$0.30,61,1.08,9.22,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
335,Microsoft Azure,Llama 3.3 70B,128k,Open,14,$0.71,108,2.41,7.03,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
336,Scaleway,Llama 3.3 70B,100k,Open,14,$1.05,79,1.42,7.76,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
337,"DeepInfra (Turbo, FP8)","Llama 3.3 70B (Turbo, FP8)",131k,Open,14,$0.15,21,1.94,25.77,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
338,Novita,Llama 3.3 70B,131k,Open,14,$0.20,27,2.92,21.27,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
339,Cloudflare,Llama 3.3 70B,24k,Open,14,$0.78,28,3.46,21.31,N/A,https://artificialanalysis.ai/models/llama-3-3-instruct-70b,https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers
340,SiliconFlow,Ring-flash-2.0,131k,Open,14,$0.25,68,2.82,39.67,29.48,https://artificialanalysis.ai/models/ring-flash-2-0,https://artificialanalysis.ai/models/ring-flash-2-0/providers
341,Parasail,Olmo 3.1 32B Think,66k,Open,14,$0.00,91,2.10,29.48,21.90,https://artificialanalysis.ai/models/olmo-3-1-32b-think,https://artificialanalysis.ai/models/olmo-3-1-32b-think/providers
342,Novita,Llama 4 Scout,131k,Open,14,$0.28,61,1.03,9.27,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
343,Google Vertex,Llama 4 Scout Vertex,1m,Open,14,$0.36,244,0.63,2.68,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
344,Microsoft Azure,Llama 4 Scout,128k,Open,14,$0.34,189,5.22,7.87,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
345,CompactifAI,Llama 4 Scout,131k,Open,14,$0.11,102,0.84,5.74,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
346,Weights & Biases,Llama 4 Scout,64k,Open,14,$0.29,129,0.67,4.56,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
347,Cloudflare,Llama 4 Scout,131k,Open,14,$0.41,43,0.63,12.34,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
348,Groq,Llama 4 Scout,131k,Open,14,$0.17,413,0.48,1.69,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
349,DeepInfra,Llama 4 Scout,328k,Open,14,$0.14,54,0.65,9.90,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
350,Amazon Bedrock,Llama 4 Scout,128k,Open,14,$0.29,187,0.80,3.46,N/A,https://artificialanalysis.ai/models/llama-4-scout,https://artificialanalysis.ai/models/llama-4-scout/providers
351,Microsoft Azure,Command A,256k,Open,13,$4.38,41,2.29,14.52,N/A,https://artificialanalysis.ai/models/command-a,https://artificialanalysis.ai/models/command-a/providers
352,Cohere,Command A,288k,Open,13,$4.38,40,1.94,14.32,N/A,https://artificialanalysis.ai/models/command-a,https://artificialanalysis.ai/models/command-a/providers
353,DeepInfra,Llama 3.1 Nemotron 70B,131k,Open,13,$1.20,32,1.80,17.27,N/A,https://artificialanalysis.ai/models/llama-3-1-nemotron-instruct-70b,https://artificialanalysis.ai/models/llama-3-1-nemotron-instruct-70b/providers
354,DeepInfra,NVIDIA Nemotron 3 Nano,262k,Open,13,$0.09,68,0.44,7.75,N/A,https://artificialanalysis.ai/models/nvidia-nemotron-3-nano-30b-a3b,https://artificialanalysis.ai/models/nvidia-nemotron-3-nano-30b-a3b/providers
355,DeepInfra,NVIDIA Nemotron Nano 9B V2,131k,Open,13,$0.07,122,1.11,5.22,N/A,https://artificialanalysis.ai/models/nvidia-nemotron-nano-9b-v2,https://artificialanalysis.ai/models/nvidia-nemotron-nano-9b-v2/providers
356,Amazon Bedrock,NVIDIA Nemotron Nano 9B V2,131k,Open,13,$0.10,172,1.25,4.16,N/A,https://artificialanalysis.ai/models/nvidia-nemotron-nano-9b-v2,https://artificialanalysis.ai/models/nvidia-nemotron-nano-9b-v2/providers
357,Nebius (FP8),Hermes 4 70B (FP8),128k,Open,13,$0.20,79,1.45,7.81,N/A,https://artificialanalysis.ai/models/hermes-4-llama-3-1-70b,https://artificialanalysis.ai/models/hermes-4-llama-3-1-70b/providers
358,Sarvam,Sarvam 30B (high),66k,Open,12,$0.00,157,1.96,17.92,12.77,https://artificialanalysis.ai/models/sarvam-30b,https://artificialanalysis.ai/models/sarvam-30b/providers
359,DeepInfra,Olmo 3.1 32B Instruct,66k,Open,12,$0.30,54,0.87,10.05,N/A,https://artificialanalysis.ai/models/olmo-3-1-32b-instruct,https://artificialanalysis.ai/models/olmo-3-1-32b-instruct/providers
360,Mistral,Ministral 3 3B,256k,Open,11,$0.10,278,0.42,2.22,N/A,https://artificialanalysis.ai/models/ministral-3-3b,https://artificialanalysis.ai/models/ministral-3-3b/providers
361,Amazon Bedrock,Ministral 3 3B,256k,Open,11,$10.00,458,0.72,1.82,N/A,https://artificialanalysis.ai/models/ministral-3-3b,https://artificialanalysis.ai/models/ministral-3-3b/providers
362,AI21 Labs,Jamba 1.7 Large,256k,Open,11,$3.50,59,1.40,9.87,N/A,https://artificialanalysis.ai/models/jamba-1-7-large,https://artificialanalysis.ai/models/jamba-1-7-large/providers
363,Replicate,Granite 4.0 H Small,128k,Open,11,$0.11,360,10.17,11.56,N/A,https://artificialanalysis.ai/models/granite-4-0-h-small,https://artificialanalysis.ai/models/granite-4-0-h-small/providers
364,Alibaba Cloud,Qwen3 Omni 30B A3B,66k,Open,11,$0.43,94,1.84,7.16,N/A,https://artificialanalysis.ai/models/qwen3-omni-30b-a3b-instruct,https://artificialanalysis.ai/models/qwen3-omni-30b-a3b-instruct/providers
365,Together.ai,LFM2 24B A2B,33k,Open,10,$0.05,194,0.42,2.99,N/A,https://artificialanalysis.ai/models/lfm2-24b-a2b,https://artificialanalysis.ai/models/lfm2-24b-a2b/providers
366,DeepInfra,Phi-4,16k,Open,10,$0.09,83,0.77,6.77,N/A,https://artificialanalysis.ai/models/phi-4,https://artificialanalysis.ai/models/phi-4/providers
367,Microsoft Azure,Phi-4,16k,Open,10,$0.22,22,2.26,25.04,N/A,https://artificialanalysis.ai/models/phi-4,https://artificialanalysis.ai/models/phi-4/providers
368,Parasail,Gemma 3 27B,131k,Open,10,$0.29,24,1.21,22.35,N/A,https://artificialanalysis.ai/models/gemma-3-27b,https://artificialanalysis.ai/models/gemma-3-27b/providers
369,Novita,Gemma 3 27B,98k,Open,10,$0.14,34,1.60,16.36,N/A,https://artificialanalysis.ai/models/gemma-3-27b,https://artificialanalysis.ai/models/gemma-3-27b/providers
